system_key,system,time_scale,load,load_rate_req_s,metric,metric_label,direction,display_unit,display_value,display_text,color_rank_within_metric_load
faaslora,PrimeLoRA,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,27.5351,27.535,4
faaslora,PrimeLoRA,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,28.6274,28.627,5
sglang,SGLang,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,19.51,19.510,1
sglang,SGLang,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,19.6,19.600,1
sglang,SGLang,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,19.96,19.960,1
vllm,vLLM,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,25.73,25.730,3
vllm,vLLM,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,26.03,26.030,3
vllm,vLLM,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,26.57,26.570,3
slora,S-LoRA,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,29.24,29.240,5
slora,S-LoRA,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,31.49,31.490,5
slora,S-LoRA,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,28.52,28.520,4
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,24.89,24.890,2
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,24.97,24.970,2
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,25.16,25.160,2
faaslora,PrimeLoRA,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,33.75192399576511,33.752,4
faaslora,PrimeLoRA,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,34.16275782558826,34.163,4
faaslora,PrimeLoRA,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,39.44787753946742,39.448,5
sglang,SGLang,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,21.595374523494648,21.595,1
sglang,SGLang,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,22.031796542444226,22.032,1
sglang,SGLang,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,23.05333501118598,23.053,1
vllm,vLLM,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,28.02249596598644,28.022,3
vllm,vLLM,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,28.9229960035256,28.923,3
vllm,vLLM,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,29.762221684344397,29.762,3
slora,S-LoRA,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,36.42494975344156,36.425,5
slora,S-LoRA,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,50.83869214852685,50.839,5
slora,S-LoRA,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,34.39981667579559,34.400,4
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.62789503733317,26.628,2
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.63729389508565,26.637,2
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.873626358368817,26.874,2
faaslora,PrimeLoRA,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,68.321518,68.322,5
faaslora,PrimeLoRA,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,81.851896,81.852,5
faaslora,PrimeLoRA,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,102.750526,102.751,4
sglang,SGLang,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,70.172,70.172,2
sglang,SGLang,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,84.428,84.428,2
sglang,SGLang,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,105.597,105.597,2
vllm,vLLM,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,69.719,69.719,3
vllm,vLLM,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,83.646,83.646,3
vllm,vLLM,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,104.539,104.539,3
slora,S-LoRA,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,77.568,77.568,1
slora,S-LoRA,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,92.481,92.481,1
slora,S-LoRA,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,116.483,116.483,1
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,68.833,68.833,4
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,82.491,82.491,4
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,98.427,98.427,5
