system_key,system,time_scale,load,load_rate_req_s,metric,metric_label,direction,display_unit,display_value,display_text,color_rank_within_metric_load
faaslora,PrimeLoRA,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,27.5351,27.535,4
faaslora,PrimeLoRA,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,29.8132,29.813,4
sglang,SGLang,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,19.44,19.440,1
sglang,SGLang,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,19.59,19.590,1
sglang,SGLang,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,20.0,20.000,1
vllm,vLLM,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,25.32,25.320,3
vllm,vLLM,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,25.48,25.480,3
vllm,vLLM,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,26.05,26.050,3
slora,S-LoRA,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,27.81,27.810,5
slora,S-LoRA,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,29.64,29.640,5
slora,S-LoRA,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,29.93,29.930,5
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,24.98,24.980,2
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,24.89,24.890,2
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tpot_avg_ms,TPOT avg (ms),lower_is_better,ms,25.14,25.140,2
faaslora,PrimeLoRA,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,33.75192399576511,33.752,4
faaslora,PrimeLoRA,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,34.16275782558826,34.163,4
faaslora,PrimeLoRA,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,43.907284415571674,43.907,5
sglang,SGLang,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,21.454074785041804,21.454,1
sglang,SGLang,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,21.899180385335843,21.899,1
sglang,SGLang,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,23.1417129979524,23.142,1
vllm,vLLM,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,27.528256509685885,27.528,3
vllm,vLLM,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,28.091763364492202,28.092,3
vllm,vLLM,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,29.000164103536093,29.000,3
slora,S-LoRA,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,38.30502487783939,38.305,5
slora,S-LoRA,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,38.42794226377841,38.428,5
slora,S-LoRA,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,39.637771737619,39.638,4
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.568509851183208,26.569,2
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.57656166702509,26.577,2
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tpot_p95_ms,TPOT p95 (ms),lower_is_better,ms,26.831219868782238,26.831,2
faaslora,PrimeLoRA,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,68.321518,68.322,5
faaslora,PrimeLoRA,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,81.851896,81.852,5
faaslora,PrimeLoRA,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,102.030525,102.031,4
sglang,SGLang,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,70.247,70.247,2
sglang,SGLang,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,84.126,84.126,2
sglang,SGLang,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,105.415,105.415,2
vllm,vLLM,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,69.693,69.693,3
vllm,vLLM,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,83.639,83.639,3
vllm,vLLM,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,104.558,104.558,3
slora,S-LoRA,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,77.663,77.663,1
slora,S-LoRA,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,93.194,93.194,1
slora,S-LoRA,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,116.433,116.433,1
serverlessllm,ServerlessLLM,12.0,0.67,0.6727,tok_s,Throughput (tok/s),higher_is_better,tok/s,68.822,68.822,4
serverlessllm,ServerlessLLM,10.0,0.81,0.8072,tok_s,Throughput (tok/s),higher_is_better,tok/s,82.469,82.469,4
serverlessllm,ServerlessLLM,8.0,1.01,1.009,tok_s,Throughput (tok/s),higher_is_better,tok/s,98.489,98.489,5
